CellType	DiseaseTissue	Ident1	Ident2	Gene	Log2FC	pval	padj	stat
Cycling_TA	UC_R	I	NI	TNFAIP8L3	-0.8765	0.3316	1	-0.9709
Cycling_TA	UC_R	I	NI	GLDN	0.187	0.8453	1	0.1951
Cycling_TA	UC_R	I	NI	DMXL2	0.1379	0.5386	0.6316	0.6149
Cycling_TA	UC_R	I	NI	TMOD3	-0.4309	0.01832	0.1804	-2.359
Cycling_TA	UC_R	I	NI	LEO1	0.3255	0.3547	1	0.9255
Cycling_TA	UC_R	I	NI	MAPK6	0.288	0.2124	0.5693	1.247
Cycling_TA	UC_R	I	NI	GNB5	-0.1632	0.7194	1	-0.3592
Cycling_TA	UC_R	I	NI	MYO5C	0.3623	0.04378	0.2617	2.016
Cycling_TA	UC_R	I	NI	ARPP19	-0.1116	0.7101	1	-0.3717
Cycling_TA	UC_R	I	NI	FAM214A	-0.2427	0.3168	0.7905	-1.001
Cycling_TA	UC_R	I	NI	WDR72	-1.749	0.08744	0.6967	-1.709
Cycling_TA	UC_R	I	NI	RSL24D1	0.07223	0.8882	1	0.1406
Cycling_TA	UC_R	I	NI	RAB27A	0.4255	0.06283	0.3573	1.86
Cycling_TA	UC_R	I	NI	PIGB	0.4805	0.1972	0.9584	1.29
Cycling_TA	UC_R	I	NI	CCPG1	-0.1166	0.7023	1	-0.3822
Cycling_TA	UC_R	I	NI	PRTG	2.259	0.0001189	0.04448	3.848
Cycling_TA	UC_R	I	NI	NEDD4	-0.1609	0.6558	0.8493	-0.4457
Cycling_TA	UC_R	I	NI	RFX7	0.1149	0.5203	0.6772	0.6429
Cycling_TA	UC_R	I	NI	TEX9	-0.1743	0.5179	1	-0.6466
Cycling_TA	UC_R	I	NI	MNS1	-0.3347	0.2889	1	-1.06
Cycling_TA	UC_R	I	NI	ZNF280D	-0.1066	0.553	0.7964	-0.5933
Cycling_TA	UC_R	I	NI	AC090517.5	-0.1955	0.6435	1	-0.4628
Cycling_TA	UC_R	I	NI	TCF12	-0.2934	0.07176	0.3734	-1.801
Cycling_TA	UC_R	I	NI	CGNL1	0.02146	0.9727	1	0.03422
Cycling_TA	UC_R	I	NI	POLR2M	-0.5912	0.2021	1	-1.276
Cycling_TA	UC_R	I	NI	ADAM10	-0.07641	0.6926	0.7301	-0.3953
Cycling_TA	UC_R	I	NI	MINDY2	0.1514	0.5203	1	0.643
Cycling_TA	UC_R	I	NI	RNF111	-0.3416	0.04259	0.311	-2.028
Cycling_TA	UC_R	I	NI	SLTM	0.2061	0.2395	0.5144	1.176
Cycling_TA	UC_R	I	NI	CCNB2	-0.06858	0.8495	1	-0.1897
Cycling_TA	UC_R	I	NI	MYO1E	-0.7431	0.008653	0.1531	-2.625
Cycling_TA	UC_R	I	NI	AC092868.2	-0.5747	0.3951	1	-0.8504
Cycling_TA	UC_R	I	NI	FAM81A	0.2478	0.426	1	0.7961
